iter	Logloss
0	0.6457919232
1	0.6061220863
2	0.5667218313
3	0.5288061223
4	0.4944766798
5	0.4649958041
6	0.4364172935
7	0.4130302294
8	0.3909321773
9	0.3704057243
10	0.3509344404
11	0.3359418666
12	0.3206378463
13	0.3054298712
14	0.2936785523
15	0.2826077038
16	0.2721053387
17	0.2642244683
18	0.254612542
19	0.2467060197
20	0.2388542517
21	0.233302213
22	0.2274159709
23	0.2214416021
24	0.2160939642
25	0.2095890803
26	0.2055776449
27	0.2008811406
28	0.1986158806
29	0.1933194482
30	0.1899245233
31	0.1862864652
32	0.1829146439
33	0.179364193
34	0.1768297366
35	0.1741273791
36	0.1712970593
37	0.1688515375
38	0.1660209583
39	0.163944041
40	0.1616221645
41	0.1599747172
42	0.1583246192
43	0.1559459812
44	0.153547714
45	0.1511454565
46	0.150068182
47	0.14819501
48	0.1466821499
49	0.1455504969
50	0.1441843826
51	0.1429587876
52	0.1413570276
53	0.1400997027
54	0.1390888332
55	0.137627755
56	0.1363344786
57	0.1351804385
58	0.1338198838
59	0.1325723006
60	0.1313871876
61	0.1299435518
62	0.1290109948
63	0.1279814243
64	0.1270075074
65	0.1263578293
66	0.1253516564
67	0.124432321
68	0.1237971936
69	0.1230269366
70	0.1222865185
71	0.1215111779
72	0.1206513838
73	0.1199446183
74	0.1192047811
75	0.1183658267
76	0.1174497907
77	0.1165818145
78	0.1159466046
79	0.1155004889
80	0.1143375506
81	0.113790429
82	0.1130754539
83	0.1126570424
84	0.1121437767
85	0.1115050181
86	0.1108851967
87	0.1105503433
88	0.1102938974
89	0.1094314334
90	0.1087972419
91	0.1084112443
92	0.1077728361
93	0.1070266916
94	0.1063993694
95	0.1060142783
96	0.1054862398
97	0.1049951138
98	0.1046746246
99	0.1039840517
100	0.1034692185
101	0.1031144035
102	0.1027560135
103	0.1021328515
104	0.1017729782
105	0.101499903
106	0.1010403553
107	0.1006043538
108	0.1002428327
109	0.09984092099
110	0.09932396436
111	0.09874526476
112	0.09849553375
113	0.0981163633
114	0.09765382229
115	0.09723236359
116	0.09683485359
117	0.09638046663
118	0.0960978482
119	0.09561993056
120	0.09518416411
121	0.09475993462
122	0.09460478584
123	0.0942626125
124	0.09385652812
125	0.09362871077
126	0.09332443173
127	0.09297112739
128	0.09249280114
129	0.09214436663
130	0.09175420711
131	0.09143109506
132	0.09115300845
133	0.09073931962
134	0.09045968153
135	0.09008686723
136	0.08987799322
137	0.08960772172
138	0.08906608367
139	0.08871806196
140	0.08847605785
141	0.0880770344
142	0.08771458978
143	0.0874467336
144	0.08721753951
145	0.08690728942
146	0.08636724285
