iter	Passed	Remaining
0	149	149657
1	157	78706
2	165	54876
3	172	42962
4	180	35828
5	187	31078
6	195	27678
7	202	25128
8	210	23133
9	218	21653
10	226	20345
11	234	19294
12	241	18371
13	249	17571
14	257	16879
15	264	16278
16	272	15742
17	279	15274
18	287	14847
19	296	14512
20	303	14167
21	311	13859
22	319	13570
23	327	13316
24	334	13062
25	343	12862
26	352	12689
27	359	12491
28	367	12300
29	375	12125
30	383	11974
31	392	11882
32	400	11740
33	408	11594
34	415	11459
35	423	11336
36	430	11215
37	438	11105
38	446	10991
39	453	10890
40	461	10795
41	469	10711
42	477	10623
43	485	10540
44	492	10457
45	500	10378
46	507	10296
47	515	10226
48	523	10156
49	531	10091
50	538	10023
51	546	9963
52	554	9903
53	561	9841
54	569	9782
55	577	9731
56	584	9677
57	592	9625
58	600	9573
59	608	9525
60	615	9477
61	623	9428
62	630	9379
63	638	9336
64	646	9293
65	653	9249
66	661	9209
67	669	9170
68	676	9130
69	684	9092
70	692	9054
71	699	9017
72	707	8983
73	714	8946
74	722	8910
75	730	8876
76	737	8843
77	745	8812
78	753	8781
79	760	8751
80	768	8721
81	781	8749
82	790	8728
83	797	8696
84	805	8666
85	812	8640
86	820	8613
87	828	8589
88	836	8560
89	844	8539
90	852	8516
91	860	8490
92	867	8464
93	875	8440
94	883	8416
95	890	8389
96	898	8365
97	906	8341
98	914	8319
99	922	8298
100	929	8273
101	937	8249
102	944	8226
103	952	8205
104	960	8183
105	967	8161
106	975	8139
107	982	8116
108	990	8094
109	997	8073
110	1005	8053
111	1013	8033
112	1020	8013
113	1028	7993
114	1036	7972
115	1043	7955
116	1051	7937
117	1059	7918
118	1067	7900
119	1074	7881
120	1082	7863
121	1090	7845
122	1097	7823
123	1105	7806
124	1112	7790
125	1120	7772
126	1128	7754
127	1135	7737
128	1143	7719
129	1150	7701
130	1158	7685
131	1167	7678
132	1175	7662
133	1182	7644
134	1190	7627
135	1198	7612
136	1205	7596
137	1213	7580
138	1221	7564
139	1229	7550
140	1236	7534
141	1244	7518
142	1252	7505
143	1259	7489
144	1267	7474
145	1275	7458
146	1282	7443
147	1290	7429
148	1298	7413
149	1306	7401
150	1313	7386
151	1321	7374
152	1331	7373
153	1339	7359
154	1347	7344
155	1355	7333
156	1363	7319
157	1370	7305
158	1378	7290
159	1386	7276
160	1393	7261
161	1401	7247
162	1408	7230
163	1415	7216
164	1423	7205
165	1431	7191
166	1439	7178
167	1446	7163
168	1454	7150
169	1461	7137
170	1469	7123
171	1477	7110
172	1484	7097
173	1492	7084
174	1499	7071
175	1507	7058
176	1515	7044
